country_of_birth,country_of_destination,education_level,sex,number,Country_origin,origin_Education,origin_Jobs,origin_Income,origin_Safety,origin_Health,origin_Environment,origin_Civic engagement,origin_Accessibility to services,origin_Housing,origin_Community,origin_Life satisfaction,origin_PR rating,origin_CL rating,Country_dest,dest_Education,dest_Jobs,dest_Income,dest_Safety,dest_Health,dest_Environment,dest_Civic engagement,dest_Accessibility to services,dest_Housing,dest_Community,dest_Life satisfaction,dest_PR rating,dest_CL rating,diff_Education,diff_Jobs,diff_Income,diff_Safety,diff_Health,diff_Environment,diff_Civic engagement,diff_Accessibility to services,diff_Housing,diff_Community,diff_Life satisfaction,diff_PR rating,diff_CL rating
GRC,SVN,ISCED 5/6/7/8,Female,69.0,Greece,0.7296296296296295,0.16301936264622838,0.2673509286412512,0.9841269841269842,0.6380303030303034,0.5052083333333334,0.2837292693859257,0.37740805604203154,0.21582733812949645,0.1172839506172835,0.26923076923076933,1.0,0.8571428571428571,Slovenia,0.9425925925925924,0.7872125857200485,0.3469022017409114,1.0,0.5837445887445886,0.5104166666666666,0.16853428955625288,0.6168916448376943,0.4316546762589929,0.9197530864197532,0.576923076923077,1.0,1.0,0.2129629629629629,0.6241932230738201,0.0795512730996602,0.015873015873015817,-0.054285714285714826,0.005208333333333259,-0.1151949798296728,0.23948358879566278,0.21582733812949645,0.8024691358024697,0.30769230769230765,0.0,0.1428571428571429
GRC,SVN,ISCED 5/6/7/8,Male,127.0,Greece,0.7296296296296295,0.16301936264622838,0.2673509286412512,0.9841269841269842,0.6380303030303034,0.5052083333333334,0.2837292693859257,0.37740805604203154,0.21582733812949645,0.1172839506172835,0.26923076923076933,1.0,0.8571428571428571,Slovenia,0.9425925925925924,0.7872125857200485,0.3469022017409114,1.0,0.5837445887445886,0.5104166666666666,0.16853428955625288,0.6168916448376943,0.4316546762589929,0.9197530864197532,0.576923076923077,1.0,1.0,0.2129629629629629,0.6241932230738201,0.0795512730996602,0.015873015873015817,-0.054285714285714826,0.005208333333333259,-0.1151949798296728,0.23948358879566278,0.21582733812949645,0.8024691358024697,0.30769230769230765,0.0,0.1428571428571429
GRC,SWE,ISCED 5/6/7/8,Female,13650.0,Greece,0.7296296296296295,0.16301936264622838,0.2673509286412512,0.9841269841269842,0.6380303030303034,0.5052083333333334,0.2837292693859257,0.37740805604203154,0.21582733812949645,0.1172839506172835,0.26923076923076933,1.0,0.8571428571428571,Sweden,0.8722222222222221,0.6906010488100043,0.4377181957827119,0.9682539682539681,0.8633549783549785,0.9635416666666667,0.9408337068579111,0.792766386094695,0.5755395683453237,0.820987654320988,0.9230769230769234,1.0,1.0,0.1425925925925926,0.5275816861637759,0.17036726714146072,-0.01587301587301604,0.22532467532467515,0.45833333333333337,0.6571044374719854,0.4153583300526634,0.35971223021582727,0.7037037037037045,0.653846153846154,0.0,0.1428571428571429
GRC,SWE,ISCED 5/6/7/8,Male,16105.0,Greece,0.7296296296296295,0.16301936264622838,0.2673509286412512,0.9841269841269842,0.6380303030303034,0.5052083333333334,0.2837292693859257,0.37740805604203154,0.21582733812949645,0.1172839506172835,0.26923076923076933,1.0,0.8571428571428571,Sweden,0.8722222222222221,0.6906010488100043,0.4377181957827119,0.9682539682539681,0.8633549783549785,0.9635416666666667,0.9408337068579111,0.792766386094695,0.5755395683453237,0.820987654320988,0.9230769230769234,1.0,1.0,0.1425925925925926,0.5275816861637759,0.17036726714146072,-0.01587301587301604,0.22532467532467515,0.45833333333333337,0.6571044374719854,0.4153583300526634,0.35971223021582727,0.7037037037037045,0.653846153846154,0.0,0.1428571428571429
GRC,TUR,ISCED 5/6/7/8,Female,2127.0,Greece,0.7296296296296295,0.16301936264622838,0.2673509286412512,0.9841269841269842,0.6380303030303034,0.5052083333333334,0.2837292693859257,0.37740805604203154,0.21582733812949645,0.1172839506172835,0.26923076923076933,1.0,0.8571428571428571,Türkiye,0.005555555555555634,0.15298507462686572,0.0653074524042266,0.7222222222222222,0.4368181818181817,0.08333333333333323,0.8989242492155987,0.4046535318161572,0.22917483552172407,0.09259259259259266,0.053782515889398017,0.42857142857142855,0.2857142857142857,-0.7240740740740739,-0.010034288019362653,-0.20204347623702462,-0.261904761904762,-0.20121212121212168,-0.4218750000000001,0.615194979829673,0.02724547577412567,0.013347497392227625,-0.024691358024690843,-0.2154482533413713,-0.5714285714285714,-0.5714285714285714
GRC,TUR,ISCED 5/6/7/8,Male,2422.0,Greece,0.7296296296296295,0.16301936264622838,0.2673509286412512,0.9841269841269842,0.6380303030303034,0.5052083333333334,0.2837292693859257,0.37740805604203154,0.21582733812949645,0.1172839506172835,0.26923076923076933,1.0,0.8571428571428571,Türkiye,0.005555555555555634,0.15298507462686572,0.0653074524042266,0.7222222222222222,0.4368181818181817,0.08333333333333323,0.8989242492155987,0.4046535318161572,0.22917483552172407,0.09259259259259266,0.053782515889398017,0.42857142857142855,0.2857142857142857,-0.7240740740740739,-0.010034288019362653,-0.20204347623702462,-0.261904761904762,-0.20121212121212168,-0.4218750000000001,0.615194979829673,0.02724547577412567,0.013347497392227625,-0.024691358024690843,-0.2154482533413713,-0.5714285714285714,-0.5714285714285714
GRC,USA,ISCED 5/6/7/8,Female,100574.0,Greece,0.7296296296296295,0.16301936264622838,0.2673509286412512,0.9841269841269842,0.6380303030303034,0.5052083333333334,0.2837292693859257,0.37740805604203154,0.21582733812949645,0.1172839506172835,0.26923076923076933,1.0,0.8571428571428571,United States,0.9333333333333332,0.7344191206131504,1.0,0.753968253968254,0.3269047619047619,0.8541666666666666,0.4858807709547289,0.8896672504378283,1.0,0.7716049382716055,0.7692307692307694,0.8571428571428571,0.9285714285714286,0.20370370370370372,0.571399757966922,0.7326490713587488,-0.23015873015873023,-0.31112554112554147,0.34895833333333326,0.20215150156880324,0.5122591943957968,0.7841726618705036,0.654320987654322,0.5,-0.1428571428571429,0.07142857142857151
GRC,USA,ISCED 5/6/7/8,Male,132544.0,Greece,0.7296296296296295,0.16301936264622838,0.2673509286412512,0.9841269841269842,0.6380303030303034,0.5052083333333334,0.2837292693859257,0.37740805604203154,0.21582733812949645,0.1172839506172835,0.26923076923076933,1.0,0.8571428571428571,United States,0.9333333333333332,0.7344191206131504,1.0,0.753968253968254,0.3269047619047619,0.8541666666666666,0.4858807709547289,0.8896672504378283,1.0,0.7716049382716055,0.7692307692307694,0.8571428571428571,0.9285714285714286,0.20370370370370372,0.571399757966922,0.7326490713587488,-0.23015873015873023,-0.31112554112554147,0.34895833333333326,0.20215150156880324,0.5122591943957968,0.7841726618705036,0.654320987654322,0.5,-0.1428571428571429,0.07142857142857151
HUN,AUS,ISCED 5/6/7/8,Female,16615.0,Hungary,0.8499999999999999,0.842048204921339,0.27112135176651303,0.9841269841269842,0.04480519480519531,0.5208333333333334,0.5515463917525775,0.8274560798973809,0.4316546762589929,0.8148148148148147,0.3846153846153847,0.7142857142857143,0.7142857142857143,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,-0.02777777777777768,-0.012681524808390243,0.33293767164734905,-0.007936507936507908,0.8540259740259739,0.30729166666666663,0.42055757286779716,-0.3263871882361482,0.5035971223021579,0.05555555555555591,0.4615384615384617,0.2857142857142857,0.2857142857142857
HUN,AUS,ISCED 5/6/7/8,Male,12930.0,Hungary,0.8499999999999999,0.842048204921339,0.27112135176651303,0.9841269841269842,0.04480519480519531,0.5208333333333334,0.5515463917525775,0.8274560798973809,0.4316546762589929,0.8148148148148147,0.3846153846153847,0.7142857142857143,0.7142857142857143,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,-0.02777777777777768,-0.012681524808390243,0.33293767164734905,-0.007936507936507908,0.8540259740259739,0.30729166666666663,0.42055757286779716,-0.3263871882361482,0.5035971223021579,0.05555555555555591,0.4615384615384617,0.2857142857142857,0.2857142857142857
